latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
36.40334,101.76755,331.3,0.37,0.58,2019-10-18,0524,N,nominal,1.0NRT,290.7,4.4,D
36.70802,101.56477,342,0.38,0.58,2019-10-18,0524,N,nominal,1.0NRT,290.4,4.5,D
38.18211,101.59511,328.3,0.34,0.56,2019-10-18,0524,N,nominal,1.0NRT,293.5,3.2,D
39.84589,98.27316,340.8,0.46,0.63,2019-10-18,0524,N,nominal,1.0NRT,294.3,6,D
13.93808,101.88803,338.9,0.59,0.53,2019-10-18,0700,N,nominal,1.0NRT,289.5,5.8,D
14.82994,101.8709,342.7,0.61,0.53,2019-10-18,0700,N,nominal,1.0NRT,292.8,4.2,D
14.89342,100.34555,331.4,0.48,0.48,2019-10-18,0700,N,nominal,1.0NRT,299.2,2.5,D
14.9807,100.11752,333.1,0.47,0.48,2019-10-18,0700,N,nominal,1.0NRT,298.1,3.3,D
15.03749,100.42545,367,0.49,0.49,2019-10-18,0700,N,high,1.0NRT,300.7,10.1,D
15.20893,100.71638,345.7,0.52,0.5,2019-10-18,0700,N,nominal,1.0NRT,301.8,13.5,D
15.2085,100.71898,341.8,0.52,0.5,2019-10-18,0700,N,nominal,1.0NRT,300.1,11.5,D
15.13939,100.06848,344.3,0.47,0.48,2019-10-18,0700,N,nominal,1.0NRT,298.3,7.6,D
15.21062,100.31825,335.3,0.49,0.48,2019-10-18,0700,N,nominal,1.0NRT,297.6,3.7,D
15.17889,98.09295,345.3,0.53,0.42,2019-10-18,0700,N,nominal,1.0NRT,297.4,17,D
15.43889,99.85551,339.5,0.46,0.47,2019-10-18,0700,N,nominal,1.0NRT,297.5,4.2,D
15.67582,100.04105,332.4,0.47,0.48,2019-10-18,0700,N,nominal,1.0NRT,297,2.8,D
15.74455,99.87573,340.6,0.46,0.47,2019-10-18,0700,N,nominal,1.0NRT,296.7,7.2,D
15.74481,99.87603,341.2,0.46,0.47,2019-10-18,0700,N,nominal,1.0NRT,297.3,7.5,D
15.78333,99.75687,340.2,0.46,0.47,2019-10-18,0700,N,nominal,1.0NRT,296.3,6.5,D
15.83462,99.98964,342.9,0.47,0.48,2019-10-18,0700,N,nominal,1.0NRT,295.8,5,D
15.96664,100.18958,334.2,0.49,0.48,2019-10-18,0700,N,nominal,1.0NRT,296.1,3.5,D
16.08112,100.14319,335.2,0.49,0.48,2019-10-18,0700,N,nominal,1.0NRT,295.6,3.7,D
16.10581,99.87747,334.3,0.47,0.48,2019-10-18,0700,N,nominal,1.0NRT,297,4.7,D
16.19503,100.10854,331.1,0.49,0.48,2019-10-18,0700,N,nominal,1.0NRT,293.9,1.9,D
16.20511,99.92821,343.9,0.47,0.48,2019-10-18,0700,N,nominal,1.0NRT,296.7,13.1,D
16.2701,100.39404,340.2,0.51,0.49,2019-10-18,0700,N,nominal,1.0NRT,296.4,7,D
16.26953,100.38925,332.3,0.51,0.49,2019-10-18,0700,N,nominal,1.0NRT,295.9,7,D
15.9947,97.93794,331.5,0.53,0.42,2019-10-18,0700,N,nominal,1.0NRT,296.7,3.1,D
16.3077,99.78143,334.5,0.46,0.47,2019-10-18,0700,N,nominal,1.0NRT,296.7,5.1,D
16.37674,99.79934,339.8,0.47,0.47,2019-10-18,0700,N,nominal,1.0NRT,297.2,4.3,D
16.38113,99.79877,333.2,0.47,0.47,2019-10-18,0700,N,nominal,1.0NRT,297.2,4.3,D
16.3765,99.79974,331.3,0.47,0.47,2019-10-18,0700,N,nominal,1.0NRT,297.1,3.7,D
16.38089,99.79917,338.2,0.47,0.47,2019-10-18,0700,N,nominal,1.0NRT,296.9,3.7,D
17.1533,100.89957,333.4,0.56,0.52,2019-10-18,0700,N,nominal,1.0NRT,296.4,4.2,D
17.15265,100.8977,335.1,0.56,0.52,2019-10-18,0700,N,nominal,1.0NRT,296,4.6,D
17.04365,99.83108,330.1,0.48,0.48,2019-10-18,0700,N,nominal,1.0NRT,296.7,4.4,D
17.07994,100.02251,335.7,0.49,0.49,2019-10-18,0700,N,nominal,1.0NRT,295.1,4.7,D
17.07939,100.01784,333.3,0.49,0.49,2019-10-18,0700,N,nominal,1.0NRT,296.9,3.7,D
16.65411,96.39468,333.5,0.45,0.39,2019-10-18,0700,N,nominal,1.0NRT,298.3,4.7,D
17.15079,100.00417,336.5,0.49,0.49,2019-10-18,0700,N,nominal,1.0NRT,296.6,3.6,D
17.14764,100.00114,340.6,0.49,0.49,2019-10-18,0700,N,nominal,1.0NRT,296.5,3.8,D
16.75016,96.63268,331,0.47,0.39,2019-10-18,0700,N,nominal,1.0NRT,298.4,2.4,D
16.77507,96.59788,336,0.46,0.39,2019-10-18,0700,N,nominal,1.0NRT,297.7,4.2,D
16.8009,96.76044,336.6,0.47,0.4,2019-10-18,0700,N,nominal,1.0NRT,299.3,4.6,D
16.7787,96.59735,340.1,0.46,0.39,2019-10-18,0700,N,nominal,1.0NRT,297.5,4.2,D
16.79932,96.53222,334.7,0.46,0.39,2019-10-18,0700,N,nominal,1.0NRT,297.9,2.6,D
16.79515,96.47549,330.9,0.46,0.39,2019-10-18,0700,N,nominal,1.0NRT,297.6,3.3,D
16.86888,96.63421,332.3,0.47,0.4,2019-10-18,0700,N,nominal,1.0NRT,297.1,4.4,D
17.48637,100.00639,332.7,0.5,0.49,2019-10-18,0700,N,nominal,1.0NRT,298.6,4.8,D
17.06753,96.64883,335.5,0.47,0.4,2019-10-18,0700,N,nominal,1.0NRT,299.3,5.6,D
17.04928,96.5125,345.2,0.46,0.39,2019-10-18,0700,N,nominal,1.0NRT,295.3,5.9,D
17.15215,96.69559,333.5,0.47,0.4,2019-10-18,0700,N,nominal,1.0NRT,299.9,6.3,D
17.15134,96.69241,334.7,0.47,0.4,2019-10-18,0700,N,nominal,1.0NRT,300,3,D
17.45968,96.44325,330.2,0.46,0.39,2019-10-18,0700,N,nominal,1.0NRT,300,3.7,D
17.44613,95.39429,331.9,0.42,0.38,2019-10-18,0700,N,nominal,1.0NRT,298.2,3.7,D
17.67351,96.8736,343.3,0.49,0.4,2019-10-18,0700,N,nominal,1.0NRT,298.6,7.7,D
17.49205,95.23019,330.6,0.42,0.37,2019-10-18,0700,N,nominal,1.0NRT,299,3.2,D
17.56717,95.23882,338.8,0.42,0.37,2019-10-18,0700,N,nominal,1.0NRT,297.4,5.2,D
17.6635,95.90121,335.7,0.44,0.39,2019-10-18,0700,N,nominal,1.0NRT,300.6,4,D
17.69656,95.90482,336.1,0.44,0.39,2019-10-18,0700,N,nominal,1.0NRT,299.7,3.6,D
17.70633,95.87426,335.7,0.44,0.38,2019-10-18,0700,N,nominal,1.0NRT,297.9,3.4,D
17.87825,96.65531,344.4,0.48,0.4,2019-10-18,0700,N,nominal,1.0NRT,301.1,8,D
17.86483,96.52849,335.4,0.47,0.4,2019-10-18,0700,N,nominal,1.0NRT,300,4.4,D
18.02872,95.13353,337.5,0.42,0.37,2019-10-18,0700,N,nominal,1.0NRT,297.4,3.9,D
