0,1,2,3,4,5,6
38,294.7,319.5,52,D,7.0,3
39,293.5,317.9,57,D,7.1,3
41,295.8,311.0,73,N,9.9,1
47,305.9,326.4,79,D,17.6,2
48,299.5,330.1,63,D,20.9,2
49,294.0,323.0,72,D,15.8,2
50,310.5,332.2,84,D,31.6,2
53,302.8,319.5,67,D,8.6,2
69,295.3,306.4,66,N,5.7,1
72,307.8,320.4,42,D,8.1,2
76,309.4,322.5,56,D,12.8,2
77,295.1,308.8,57,N,9.3,2
81,300.3,326.8,79,D,20.3,1
82,303.1,327.7,63,D,14.1,3
86,295.3,323.8,56,D,11.2,3
92,308.3,332.7,78,D,9.7,5
93,295.8,311.7,76,N,18.9,3
94,294.6,309.2,71,N,6.5,3
96,300.1,319.4,39,D,38.5,2
97,293.0,324.9,78,D,19.7,3
98,298.8,317.6,64,D,20.7,3
99,297.0,349.5,95,D,84.7,3
100,302.3,316.8,58,D,6.9,2
102,305.1,399.6,94,D,402.8,3
103,305.7,334.6,81,D,87.8,3
105,305.5,323.1,66,D,31.3,3
107,309.0,328.7,82,D,24.0,3
108,306.0,327.0,80,D,13.5,6
109,302.3,320.4,59,D,32.1,3
110,304.7,325.6,61,D,16.1,2
113,304.3,322.7,72,D,13.7,2
114,299.9,339.4,89,D,53.0,3
116,306.7,336.9,85,D,29.8,2
118,300.0,323.2,43,D,11.4,4
120,309.5,321.4,46,D,10.5,2
121,301.2,321.5,63,D,33.5,3
122,302.3,316.2,65,D,8.5,2
125,302.9,329.5,81,D,24.6,2
127,307.4,323.3,67,D,13.4,2
128,295.6,309.9,68,N,17.6,2
132,302.3,318.6,70,D,10.6,2
133,298.5,312.0,82,N,8.3,2
134,299.3,317.8,37,D,33.6,2
141,301.9,340.2,88,D,58.2,1
142,296.3,309.3,77,N,8.8,1
143,303.3,317.7,25,D,11.2,2
144,302.1,338.3,83,D,38.3,2
147,273.7,302.7,51,N,7.1,4
148,293.9,306.2,61,N,10.2,2
149,296.9,307.8,57,N,5.6,4
151,309.8,325.5,70,D,11.6,2
153,298.0,310.8,79,N,7.3,2
156,302.4,323.4,50,D,15.0,2
161,293.9,307.9,48,N,7.1,2
164,301.1,323.8,66,D,12.1,3
165,286.2,318.2,37,D,7.1,10
166,306.0,324.2,45,D,11.7,2
167,300.9,327.5,79,D,20.7,2
168,297.6,311.4,32,D,5.2,1
170,290.9,305.9,10,N,5.1,2
173,309.7,326.0,36,D,10.7,2
174,312.5,329.6,70,D,17.0,2
177,294.8,327.7,100,N,24.5,2
178,306.2,324.9,47,D,13.2,2
180,308.2,346.6,92,D,53.0,2
182,291.5,301.8,30,N,4.0,2
183,306.1,324.1,38,D,9.9,2
184,308.2,340.9,89,D,40.3,2
191,292.7,307.4,37,N,6.5,2
194,298.4,320.2,50,D,12.1,3
197,304.6,322.8,73,D,11.8,2
200,298.2,320.9,52,D,13.3,3
201,306.6,334.9,85,D,15.5,5
202,308.5,334.7,77,D,16.0,4
204,302.3,327.1,74,D,20.4,2
212,294.3,309.1,75,N,6.8,2
213,307.3,337.7,87,D,35.1,2
215,293.0,315.0,89,N,13.1,4
217,307.4,348.2,94,D,39.9,5
218,288.8,310.3,79,N,9.9,3
219,297.2,314.7,51,D,6.5,2
221,305.4,325.1,73,D,14.4,2
226,298.7,318.0,95,N,12.5,3
228,302.6,319.3,10,D,6.9,2
229,298.1,327.8,72,D,13.6,3
231,298.1,308.3,67,N,4.9,3
235,306.2,323.4,71,D,8.7,3
237,301.9,319.5,72,D,13.0,1
238,297.6,348.6,94,D,47.3,3
239,306.5,321.3,37,D,8.7,2
240,307.4,329.0,75,D,6.6,7
244,298.6,312.4,81,N,7.8,3
245,292.1,314.7,56,N,22.7,5
246,298.1,309.5,72,N,5.8,3
247,308.0,329.5,71,D,6.7,7
249,307.9,333.0,82,D,11.2,7
251,293.8,312.5,85,N,27.4,1
253,293.3,307.0,30,N,10.2,5
254,292.6,302.9,52,N,5.0,1
255,303.3,316.0,49,D,15.0,2
257,294.0,309.1,76,N,22.2,1
258,308.0,328.3,0,D,23.8,2
260,305.3,351.4,0,D,56.2,3
262,303.8,317.2,36,D,26.8,2
263,292.5,308.5,75,N,17.1,3
264,296.0,319.5,65,D,10.3,3
266,303.8,333.1,69,D,60.2,4
267,299.0,314.6,32,D,54.7,3
270,296.3,315.4,90,N,14.1,3
272,302.3,318.1,60,D,27.9,3
277,305.5,339.4,80,D,31.5,3
279,306.8,361.8,100,D,81.8,3
281,306.0,334.1,72,D,61.8,3
284,301.6,323.1,48,D,9.5,5
285,297.6,321.7,71,D,14.2,3
287,293.0,311.5,67,N,12.6,2
288,303.4,324.5,65,D,12.1,3
291,295.9,323.4,68,D,14.7,3
292,293.8,324.1,100,N,27.7,2
293,293.3,306.6,57,N,7.8,2
295,307.8,337.4,83,D,19.2,5
299,293.1,310.6,80,N,9.7,1
300,292.0,319.0,61,D,6.5,6
301,303.0,317.7,48,D,8.0,3
303,308.0,321.9,34,D,10.7,2
304,300.7,314.8,55,D,15.1,2
307,302.1,326.4,78,D,46.5,3
311,282.0,305.8,29,N,28.0,9
314,291.2,312.7,85,N,12.4,3
316,302.0,336.1,0,D,33.1,6
317,278.9,320.9,100,N,79.1,9
318,297.1,320.3,45,D,10.2,2
321,299.8,329.2,76,D,22.3,9
322,281.0,325.1,100,N,96.8,9
325,294.8,305.1,63,N,4.8,2
327,300.2,322.0,23,D,12.0,7
332,293.8,306.9,42,N,45.7,5
336,301.3,315.5,32,D,8.8,2
338,295.4,319.7,16,D,12.2,3
339,302.0,314.2,32,D,19.9,2
340,288.4,328.9,100,N,43.0,9
342,294.0,314.1,88,N,12.0,2
346,306.3,325.8,67,D,18.1,2
348,302.1,326.4,76,D,20.5,2
349,286.7,313.0,11,D,11.7,4
350,300.8,330.9,81,D,28.5,2
351,298.9,319.8,0,D,21.5,8
356,294.9,315.1,87,N,30.0,2
357,305.0,322.6,43,D,14.2,2
361,307.1,327.4,64,D,25.2,2
364,310.2,328.4,58,D,9.8,6
