


latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,months
22.9227,71.312,315.8,1.1,1.0,3/18/2016,1722,Terra,MODIS,91,6.2,295.0,14.3,N,0,3
22.9235,92.6325,339.7,1.1,1.1,3/17/2019,720,Aqua,MODIS,89,6.3,300.1,43.2,D,0,3
22.9306,69.7001,327.3,1.0,1.0,10/7/2011,846,Aqua,MODIS,71,6.2,310.4,11.5,D,2,10
22.9374,83.3263,332.3,1.0,1.0,3/30/2011,752,Aqua,MODIS,70,6.2,314.1,12.8,D,0,3
22.9474,75.3691,307.3,2.3,1.5,4/12/2011,1645,Terra,MODIS,71,6.2,293.7,21.6,N,0,4
22.9476,92.6984,355.0,1.1,1.1,3/8/2010,722,Aqua,MODIS,97,6.2,302.7,78.3,D,0,3
22.9507,72.3917,322.9,1.3,1.1,10/28/2013,846,Aqua,MODIS,67,6.2,304.3,18.1,D,0,10
22.9515,92.9649,327.7,1.0,1.0,3/7/2018,714,Aqua,MODIS,80,6.2,291.2,20.2,D,0,3
22.9764,82.8419,326.7,1.0,1.0,3/1/2009,750,Aqua,MODIS,70,6.2,313.3,9.1,D,0,3
22.9795,78.5529,311.7,1.1,1.0,4/14/2019,1710,Terra,MODIS,82,6.3,293.2,10.1,N,0,4
22.9815,87.4035,321.1,2.0,1.4,3/26/2012,518,Terra,MODIS,59,6.2,307.7,19.1,D,0,3
23.015,82.8231,331.7,1.0,1.0,3/20/2010,747,Aqua,MODIS,69,6.2,318.0,10.1,D,0,3
23.024,93.0186,338.4,2.0,1.4,3/19/2012,643,Aqua,MODIS,85,6.2,296.7,96.0,D,0,3
23.0249,83.0994,329.7,1.3,1.1,4/6/2019,525,Terra,MODIS,71,6.3,311.4,15.4,D,0,4
23.0392,92.5599,400.0,1.0,1.0,3/31/2012,708,Aqua,MODIS,100,6.2,308.4,247.2,D,0,3
23.0443,80.1966,334.7,1.4,1.2,3/29/2018,816,Aqua,MODIS,46,6.2,322.5,16.3,D,0,3
23.0449,79.0764,343.1,1.0,1.0,4/23/2018,810,Aqua,MODIS,84,6.2,321.4,23.0,D,0,4
23.046,83.214,307.3,1.1,1.0,12/16/2015,519,Terra,MODIS,51,6.2,296.7,4.2,D,0,12
23.0496,71.8654,324.5,1.1,1.0,11/20/2017,602,Terra,MODIS,77,6.2,303.4,15.6,D,0,11
23.051,83.4971,331.1,1.0,1.0,4/21/2016,746,Aqua,MODIS,53,6.2,311.6,10.4,D,0,4
23.0522,93.0816,307.1,2.6,1.5,1/31/2009,641,Aqua,MODIS,53,6.2,294.2,24.4,D,0,1
