
latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,months
19.9173,86.12200000000001,325.7,1.0,1.0,1/18/2017,744,Aqua,MODIS,78,6.2,304.9,16.4,D,0,1
19.9205,80.1281,335.7,1.1,1.0,4/12/2014,809,Aqua,MODIS,73,6.2,317.1,15.5,D,0,4
19.922,80.2046,322.0,1.0,1.0,3/1/2012,526,Terra,MODIS,60,6.2,306.2,10.0,D,0,3
19.9276,86.1279,316.7,1.0,1.0,1/10/2014,744,Aqua,MODIS,66,6.2,300.8,7.8,D,0,1
19.9311,79.3656,321.9,1.0,1.0,3/5/2010,520,Terra,MODIS,45,6.2,306.2,6.4,D,0,3
19.9544,86.1,319.6,1.2,1.1,3/17/2018,751,Aqua,MODIS,57,6.2,303.4,8.0,D,0,3
20.0553,86.11200000000002,318.1,1.0,1.0,1/11/2011,738,Aqua,MODIS,72,6.2,301.4,10.1,D,0,1
20.0562,86.3152,315.5,1.2,1.1,12/30/2018,750,Aqua,MODIS,52,6.2,300.4,11.3,D,0,12
20.0756,86.0919,313.4,1.0,1.0,1/8/2010,740,Aqua,MODIS,59,6.2,300.6,4.8,D,0,1
20.0807,84.1032,332.4,1.1,1.1,3/18/2012,738,Aqua,MODIS,60,6.2,310.1,19.5,D,0,3
20.0821,86.0763,317.2,1.1,1.0,2/20/2012,449,Terra,MODIS,58,6.2,304.4,5.6,D,0,2
20.0946,77.3914,325.6,1.0,1.0,1/21/2017,815,Aqua,MODIS,70,6.2,310.3,10.3,D,0,1
20.095,79.4158,356.1,1.0,1.0,4/18/2013,804,Aqua,MODIS,97,6.2,316.7,54.8,D,0,4
20.0959,86.2462,325.7,1.1,1.0,3/10/2018,745,Aqua,MODIS,66,6.2,313.2,8.5,D,0,3
20.099,86.2291,328.8,1.1,1.0,4/27/2018,745,Aqua,MODIS,72,6.2,307.9,11.3,D,0,4
20.1052,86.1354,319.3,1.0,1.0,3/28/2017,455,Terra,MODIS,28,6.2,303.2,6.7,D,0,3
20.1167,86.0674,316.7,1.4,1.2,2/13/2011,513,Terra,MODIS,61,6.2,305.1,8.8,D,0,2
20.1215,86.1115,311.7,1.2,1.1,12/30/2018,750,Aqua,MODIS,62,6.2,300.5,7.3,D,0,12
20.1255,86.0695,310.1,1.0,1.0,1/31/2014,455,Terra,MODIS,52,6.2,299.1,3.8,D,0,1
20.1323,86.0473,308.0,3.1,1.7,12/13/2009,532,Terra,MODIS,52,6.2,296.6,19.9,D,0,12
20.1383,86.0542,310.9,1.2,1.1,11/24/2018,508,Terra,MODIS,61,6.2,300.1,7.6,D,0,11
20.1407,84.4447,323.7,1.0,1.0,3/4/2009,508,Terra,MODIS,65,6.2,310.0,10.0,D,0,3
20.1418,86.0883,313.9,1.0,1.0,1/24/2009,502,Terra,MODIS,55,6.2,302.5,4.8,D,0,1
20.1441,86.0507,314.9,1.2,1.1,11/15/2009,507,Terra,MODIS,60,6.2,298.7,8.8,D,0,11
20.1447,86.0328,314.4,1.1,1.0,1/4/2017,731,Aqua,MODIS,65,6.2,300.8,7.1,D,0,1
20.1453,80.0621,335.2,1.0,1.0,3/28/2011,803,Aqua,MODIS,73,6.2,320.5,12.1,D,0,3
20.1467,81.9191,330.4,1.2,1.1,3/31/2017,526,Terra,MODIS,72,6.2,311.2,18.9,D,0,3
20.1472,86.0266,333.0,1.1,1.0,2/24/2018,732,Aqua,MODIS,80,6.2,311.3,21.3,D,0,2
20.1507,86.3031,315.1,1.1,1.0,1/20/2017,731,Aqua,MODIS,57,6.2,303.9,5.5,D,0,1
20.1515,86.35,329.9,1.0,1.0,3/3/2018,738,Aqua,MODIS,75,6.2,309.7,14.8,D,0,3
20.1518,86.0392,317.1,1.1,1.1,2/17/2017,449,Terra,MODIS,60,6.2,303.9,6.5,D,0,2
20.1522,86.3131,318.9,1.1,1.0,1/20/2017,731,Aqua,MODIS,67,6.2,304.1,9.5,D,0,1
20.1528,86.0264,326.0,1.0,1.0,2/18/2012,501,Terra,MODIS,77,6.2,301.9,14.7,D,0,2
20.1539,86.0312,312.3,1.1,1.0,1/4/2017,731,Aqua,MODIS,59,6.2,300.8,5.3,D,0,1
20.16,84.5535,327.2,1.0,1.0,4/3/2015,745,Aqua,MODIS,59,6.2,311.2,7.1,D,0,4
20.1614,86.0332,312.0,1.3,1.2,1/28/2012,442,Terra,MODIS,41,6.2,295.0,8.9,D,0,1
20.1662,86.3234,320.5,1.0,1.0,2/22/2009,742,Aqua,MODIS,48,6.2,308.0,4.5,D,0,2
20.1706,86.3714,315.8,1.1,1.0,1/20/2017,731,Aqua,MODIS,59,6.2,302.7,7.6,D,0,1
20.1716,83.7906,333.6,1.4,1.2,3/22/2010,734,Aqua,MODIS,76,6.2,313.2,31.8,D,0,3
20.1716,83.9636,326.3,1.4,1.2,4/5/2014,803,Aqua,MODIS,49,6.2,311.2,11.9,D,0,4
20.1736,86.0697,337.5,1.0,1.0,4/25/2014,738,Aqua,MODIS,79,6.2,311.2,19.7,D,0,4
20.1739,79.579,327.6,1.7,1.3,3/23/2017,745,Aqua,MODIS,52,6.2,310.9,20.9,D,0,3
20.1756,86.3751,318.1,1.1,1.0,2/5/2017,732,Aqua,MODIS,60,6.2,305.3,7.3,D,0,2
20.1772,86.3245,316.4,1.5,1.2,1/22/2017,719,Aqua,MODIS,65,6.2,301.1,12.6,D,0,1
