

latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,months
21.4722,69.84100000000001,314.7,1.0,1.0,1/11/2009,844,Aqua,MODIS,51,6.2,303.9,4.6,D,0,1
21.4753,76.5603,316.9,1.0,1.0,2/13/2017,821,Aqua,MODIS,26,6.2,294.9,7.3,D,0,2
21.4771,69.9624,319.1,1.5,1.2,2/3/2012,544,Terra,MODIS,57,6.2,304.5,14.4,D,0,2
21.4858,82.6204,339.9,1.0,1.0,4/12/2016,751,Aqua,MODIS,80,6.2,317.7,20.6,D,0,4
21.4878,70.0571,338.6,1.3,1.1,4/9/2011,828,Aqua,MODIS,77,6.2,317.5,25.6,D,0,4
21.4916,70.0672,331.3,1.2,1.1,3/29/2012,550,Terra,MODIS,54,6.2,316.2,12.7,D,0,3
21.4932,76.2154,342.5,1.7,1.3,4/22/2017,757,Aqua,MODIS,83,6.2,321.4,42.7,D,0,4
21.4938,70.0623,346.0,1.2,1.1,3/29/2012,550,Terra,MODIS,89,6.2,316.8,44.8,D,0,3
21.5003,69.7891,318.9,1.2,1.1,11/26/2014,615,Terra,MODIS,60,6.2,308.7,8.4,D,0,11
21.5019,70.043,343.8,1.1,1.0,4/3/2012,608,Terra,MODIS,86,6.2,320.5,30.1,D,0,4
21.5026,70.0611,326.3,1.1,1.0,3/21/2018,557,Terra,MODIS,27,6.2,313.5,8.4,D,0,3
21.5036,70.0637,333.7,1.2,1.1,3/29/2012,550,Terra,MODIS,48,6.2,316.9,18.0,D,0,3
21.5057,70.0631,326.4,1.5,1.2,3/17/2018,621,Terra,MODIS,34,6.2,313.5,13.1,D,0,3
21.5075,70.0354,330.0,1.2,1.1,4/21/2016,615,Terra,MODIS,43,6.2,316.2,9.8,D,0,4
21.5099,79.5323,324.0,1.0,1.0,3/2/2009,520,Terra,MODIS,56,6.2,310.5,6.3,D,0,3
21.5177,79.4845,347.7,1.0,1.0,3/28/2011,804,Aqua,MODIS,90,6.2,320.3,33.1,D,0,3
21.5289,70.0306,332.8,1.0,1.0,3/30/2014,841,Aqua,MODIS,61,6.2,318.2,8.0,D,0,3
21.5291,79.4654,330.9,1.1,1.0,3/25/2018,532,Terra,MODIS,68,6.2,313.1,14.0,D,0,3
