latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,months
8.081,77.5413,310.6,1.7,1.3,3/21/2012,505,Terra,MODIS,40,6.2,300.3,13.1,D,3,3
8.1259,77.5128,314.4,1.7,1.3,2/13/2016,505,Terra,MODIS,60,6.2,301.7,10.3,D,0,2
8.1291,77.5207,319.6,1.1,1.0,2/19/2019,517,Terra,MODIS,71,6.3,301.2,9.2,D,0,2
8.1305,77.5109,334.1,1.1,1.0,2/19/2019,517,Terra,MODIS,86,6.3,302.3,29.2,D,0,2
8.1677,77.4643,322.3,1.1,1.0,9/6/2016,517,Terra,MODIS,69,6.2,301.0,11.8,D,0,9
8.1681,77.5922,321.3,1.0,1.0,10/18/2011,522,Terra,MODIS,57,6.2,294.2,7.8,D,0,10
8.1765,77.4767,324.8,1.1,1.1,4/24/2016,813,Aqua,MODIS,73,6.2,303.7,9.9,D,0,4
8.1792,77.4574,323.5,1.0,1.0,3/13/2013,824,Aqua,MODIS,66,6.2,302.0,9.2,D,0,3
8.1805,77.4666,327.5,1.0,1.0,3/13/2013,824,Aqua,MODIS,81,6.2,302.5,14.5,D,0,3
8.1816,77.6747,331.0,1.0,1.0,5/1/2016,819,Aqua,MODIS,84,6.2,304.7,12.1,D,0,5
8.1853,77.4613,323.0,1.4,1.2,2/2/2017,836,Aqua,MODIS,68,6.2,305.0,18.4,D,0,2
8.1863,77.6288,319.1,1.2,1.1,11/19/2012,535,Terra,MODIS,71,6.2,297.4,12.1,D,0,11
8.1881,77.6275,339.2,1.0,1.0,3/14/2019,824,Aqua,MODIS,68,6.3,311.9,20.4,D,0,3
8.1886,77.642,325.9,2.0,1.4,10/17/2009,845,Aqua,MODIS,79,6.2,298.1,23.5,D,0,10
8.1895,77.6076,309.2,1.0,1.0,2/25/2018,2029,Aqua,MODIS,65,6.2,283.3,8.9,N,0,2
8.1937,77.6618,325.8,1.5,1.2,3/16/2009,841,Aqua,MODIS,79,6.2,302.2,12.4,D,0,3
8.2027,77.3919,319.5,1.0,1.0,3/16/2014,825,Aqua,MODIS,52,6.2,294.7,7.0,D,0,3
8.2062,77.3858,317.9,1.0,1.0,3/16/2014,523,Terra,MODIS,57,6.2,293.5,7.1,D,0,3
8.2069,77.4945,325.8,1.4,1.2,3/12/2019,836,Aqua,MODIS,75,6.3,309.3,18.1,D,0,3
8.2074,77.3791,311.0,1.1,1.1,1/29/2019,1724,Terra,MODIS,73,6.3,295.8,9.9,N,0,1
8.2093,77.5076,309.2,1.2,1.1,12/18/2016,2040,Aqua,MODIS,65,6.2,294.4,9.9,N,0,12
8.2108,77.5147,312.5,1.0,1.0,3/11/2019,1718,Terra,MODIS,79,6.3,296.8,8.8,N,0,3
8.212,77.3892,312.0,2.0,1.4,1/23/2014,547,Terra,MODIS,52,6.2,300.3,14.5,D,0,1
8.2142,77.5055,306.2,2.0,1.4,3/30/2014,2054,Aqua,MODIS,67,6.2,295.4,14.6,N,0,3
8.2152,77.3871,320.1,1.0,1.0,3/16/2014,523,Terra,MODIS,70,6.2,293.5,9.4,D,0,3
8.2162,77.4027,326.4,1.2,1.1,2/1/2019,830,Aqua,MODIS,79,6.3,305.9,17.6,D,0,2
8.2189,77.3744,332.2,1.4,1.2,2/28/2010,808,Aqua,MODIS,84,6.2,310.5,31.6,D,0,2
8.2192,77.5088,311.8,1.2,1.1,12/18/2016,2040,Aqua,MODIS,76,6.2,293.7,12.0,N,0,12
8.2207,77.6942,331.5,1.0,1.0,9/13/2016,523,Terra,MODIS,79,6.2,308.5,8.4,D,0,9
8.2208,77.3967,319.5,1.0,1.0,2/2/2016,824,Aqua,MODIS,67,6.2,302.8,8.6,D,0,2
8.221,77.39399999999998,321.0,1.8,1.3,2/14/2019,800,Aqua,MODIS,73,6.3,301.6,22.8,D,0,2
8.2221,77.4059,317.3,1.0,1.0,2/2/2016,824,Aqua,MODIS,62,6.2,303.7,7.0,D,0,2
8.2235,77.4094,335.2,1.8,1.3,2/14/2019,800,Aqua,MODIS,87,6.3,302.5,65.5,D,0,2
8.2256,77.3869,306.4,1.5,1.2,2/22/2015,2048,Aqua,MODIS,45,6.2,295.8,10.9,N,0,2
8.2261,77.7519,310.1,1.6,1.2,8/20/2011,541,Terra,MODIS,14,6.2,283.6,14.4,D,0,8
8.2272,77.6188,324.9,1.0,1.0,1/22/2012,824,Aqua,MODIS,78,6.2,301.4,16.2,D,0,1
8.2392,77.4124,316.0,1.4,1.2,2/16/2016,836,Aqua,MODIS,15,6.2,296.0,7.1,D,0,2
8.241,77.3686,318.2,1.0,1.0,1/25/2010,820,Aqua,MODIS,47,6.2,305.9,7.1,D,0,1
8.2418,77.4051,306.2,1.0,1.0,1/31/2019,1712,Terra,MODIS,66,6.3,293.6,5.6,N,0,1
8.2431,77.4138,306.4,1.0,1.0,1/31/2019,1712,Terra,MODIS,66,6.3,295.3,5.7,N,0,1
8.2452,77.6183,330.0,1.0,1.0,8/1/2012,824,Aqua,MODIS,83,6.2,310.6,9.5,D,0,8
8.246,77.6133,330.3,1.0,1.0,5/15/2010,529,Terra,MODIS,78,6.2,310.2,7.9,D,0,5
8.2484,77.3801,320.4,1.0,1.0,2/13/2011,818,Aqua,MODIS,42,6.2,307.8,8.1,D,0,2
8.2513,77.3907,316.2,1.1,1.1,2/13/2011,516,Terra,MODIS,46,6.2,305.8,6.9,D,0,2
8.2533,77.3949,324.7,1.4,1.2,3/11/2014,806,Aqua,MODIS,78,6.2,302.7,20.4,D,0,3
8.2538,77.3559,316.6,1.0,1.0,1/13/2009,524,Terra,MODIS,66,6.2,302.8,7.3,D,0,1
8.2552,77.4712,322.5,1.4,1.2,2/28/2010,808,Aqua,MODIS,56,6.2,309.4,12.8,D,0,2
8.2597,77.5249,308.8,1.0,1.0,2/13/2017,2035,Aqua,MODIS,57,6.2,295.1,9.3,N,0,2
8.2608,77.5254,321.7,1.1,1.0,2/26/2010,517,Terra,MODIS,41,6.2,304.5,8.8,D,0,2
8.2665,77.6085,331.6,1.0,1.0,9/26/2009,827,Aqua,MODIS,72,6.2,303.4,15.9,D,0,9
8.2665,77.3786,313.9,1.0,1.0,3/1/2017,818,Aqua,MODIS,38,6.2,282.3,8.4,D,0,3
8.2752,77.4669,326.8,1.1,1.0,1/26/2016,517,Terra,MODIS,79,6.2,300.3,20.3,D,0,1
8.2789,77.3935,327.7,1.0,1.0,3/21/2010,826,Aqua,MODIS,63,6.2,303.1,14.1,D,0,3
8.2793,77.6025,315.5,1.0,1.0,1/16/2010,826,Aqua,MODIS,58,6.2,300.2,5.1,D,0,1
8.2796,77.5781,314.9,1.5,1.2,5/27/2012,836,Aqua,MODIS,54,6.2,285.4,9.1,D,0,5
8.2851,77.4806,327.0,1.0,1.0,3/21/2016,824,Aqua,MODIS,60,6.2,307.0,9.5,D,0,3
8.2861,77.3916,323.8,1.0,1.0,3/16/2014,825,Aqua,MODIS,56,6.2,295.3,11.2,D,0,3
8.2872,77.4779,312.9,1.9,1.3,1/14/2019,842,Aqua,MODIS,44,6.3,293.3,13.9,D,0,1
8.2879,77.7181,329.6,1.2,1.1,6/16/2019,535,Terra,MODIS,80,6.3,302.9,15.8,D,0,6
8.288,77.3955,321.8,1.0,1.0,3/21/2010,523,Terra,MODIS,52,6.2,303.4,9.3,D,0,3
8.2919,77.3913,325.9,1.4,1.2,3/14/2014,837,Aqua,MODIS,48,6.2,297.7,21.8,D,0,3
8.2942,77.4016,305.4,1.1,1.1,3/9/2016,1724,Terra,MODIS,30,6.2,293.6,5.3,N,0,3
8.2951,77.6911,332.7,1.0,1.0,5/6/2012,818,Aqua,MODIS,78,6.2,308.3,9.7,D,0,5
8.2956,77.42,311.7,1.7,1.3,3/18/2010,2012,Aqua,MODIS,76,6.2,295.8,18.9,N,0,3
8.2964,77.4146,309.2,1.0,1.0,3/18/2010,1718,Terra,MODIS,71,6.2,294.6,6.5,N,0,3
8.2977,77.4098,302.3,1.1,1.1,3/15/2014,1706,Terra,MODIS,48,6.2,289.5,4.2,N,0,3
8.2995,77.393,319.4,3.2,1.7,2/13/2019,855,Aqua,MODIS,39,6.3,300.1,38.5,D,0,2
8.3001,77.4035,324.9,1.4,1.2,3/19/2010,838,Aqua,MODIS,78,6.2,293.0,19.7,D,0,3
8.3004,77.4081,317.6,2.3,1.5,3/9/2016,458,Terra,MODIS,64,6.2,298.8,20.7,D,0,3
8.3007,77.3771,349.5,1.4,1.2,3/14/2014,837,Aqua,MODIS,95,6.2,297.0,84.7,D,0,3
8.3015,77.3393,316.8,1.0,1.0,2/14/2018,529,Terra,MODIS,58,6.2,302.3,6.9,D,0,2
8.3018,77.3451,321.9,1.2,1.1,2/4/2016,812,Aqua,MODIS,44,6.2,305.4,13.3,D,0,2
8.3024,77.3898,399.6,1.4,1.2,3/14/2014,837,Aqua,MODIS,94,6.2,305.1,402.8,D,0,3
8.3026,77.3709,334.6,2.5,1.5,3/17/2010,851,Aqua,MODIS,81,6.2,305.7,87.8,D,0,3
8.3046,77.6869,328.7,1.0,1.0,6/12/2011,823,Aqua,MODIS,77,6.2,308.1,9.8,D,0,6
8.3055,77.3933,323.1,2.5,1.5,3/17/2010,851,Aqua,MODIS,66,6.2,305.5,31.3,D,0,3
8.3088,77.3784,305.5,1.8,1.3,2/12/2019,1737,Terra,MODIS,64,6.3,295.1,9.6,N,0,2
8.3096,77.3881,328.7,1.4,1.2,3/7/2016,511,Terra,MODIS,82,6.2,309.0,24.0,D,0,3
8.3098,77.7972,327.0,1.6,1.3,6/23/2011,504,Terra,MODIS,80,6.2,306.0,13.5,D,0,6
8.3105,77.3865,320.4,2.4,1.5,3/18/2010,755,Aqua,MODIS,59,6.2,302.3,32.1,D,0,3
8.3107,77.4743,325.6,1.1,1.1,2/12/2019,812,Aqua,MODIS,61,6.3,304.7,16.1,D,0,2
8.3108,77.3437,327.8,1.0,1.0,3/2/2009,829,Aqua,MODIS,66,6.2,309.1,13.7,D,0,3
8.3112,77.3748,322.5,1.4,1.2,3/14/2014,837,Aqua,MODIS,59,6.2,296.3,16.6,D,0,3
8.3114,77.344,322.7,1.2,1.1,2/4/2016,812,Aqua,MODIS,72,6.2,304.3,13.7,D,0,2
8.3129,77.388,339.4,1.4,1.2,3/14/2014,837,Aqua,MODIS,89,6.2,299.9,53.0,D,0,3
8.3165,77.4936,308.4,1.0,1.0,2/12/2019,2029,Aqua,MODIS,69,6.3,295.6,6.8,N,0,2
8.3179,77.4888,336.9,1.0,1.0,2/7/2009,822,Aqua,MODIS,85,6.2,306.7,29.8,D,0,2
8.3182,77.3434,315.3,1.0,1.0,2/22/2015,529,Terra,MODIS,41,6.2,304.7,4.8,D,0,2
8.3188,77.4875,323.2,1.0,1.0,4/14/2013,825,Aqua,MODIS,43,6.2,300.0,11.4,D,0,4
8.3189,77.4204,318.1,1.1,1.1,3/4/2018,517,Terra,MODIS,19,6.2,301.9,7.2,D,0,3
8.3192,77.4596,321.4,1.2,1.1,2/5/2009,834,Aqua,MODIS,46,6.2,309.5,10.5,D,0,2
8.3195,77.3776,321.5,2.4,1.5,3/18/2010,756,Aqua,MODIS,63,6.2,301.2,33.5,D,0,3
8.3195,77.3988,316.2,1.4,1.2,2/12/2019,511,Terra,MODIS,65,6.3,302.3,8.5,D,0,2
8.3196,77.3336,315.6,1.5,1.2,2/22/2010,541,Terra,MODIS,64,6.2,303.4,10.0,D,0,2
8.3196,77.4745,319.5,1.4,1.2,2/12/2019,511,Terra,MODIS,66,6.3,302.7,15.1,D,0,2
8.3197,77.4909,329.5,1.1,1.0,2/7/2009,518,Terra,MODIS,81,6.2,302.9,24.6,D,0,2
8.32,77.3888,327.0,1.4,1.2,3/7/2016,511,Terra,MODIS,78,6.2,307.9,19.3,D,0,3
8.3206,77.4698,323.3,1.2,1.1,2/5/2009,834,Aqua,MODIS,67,6.2,307.4,13.4,D,0,2
8.321,77.4473,309.9,1.8,1.3,2/11/2019,1654,Terra,MODIS,68,6.3,295.6,17.6,N,0,2
8.3215,77.436,306.5,1.5,1.2,2/22/2015,2048,Aqua,MODIS,68,6.2,294.7,10.7,N,0,2
8.3218,77.4844,372.1,1.1,1.1,2/12/2019,812,Aqua,MODIS,100,6.3,306.4,135.8,D,0,2
8.322000000000001,77.7434,326.5,1.1,1.0,6/5/2012,529,Terra,MODIS,76,6.2,298.4,10.0,D,0,6
8.3223,77.3216,318.6,1.2,1.1,2/21/2018,535,Terra,MODIS,70,6.2,302.3,10.6,D,0,2
8.3224,77.4316,312.0,1.0,1.0,2/25/2014,1718,Terra,MODIS,82,6.2,298.5,8.3,N,0,2
8.3227,77.4268,317.8,3.3,1.7,2/13/2019,855,Aqua,MODIS,37,6.3,299.3,33.6,D,0,2
8.323,77.8398,327.3,1.1,1.0,10/13/2012,516,Terra,MODIS,74,6.2,295.7,14.0,D,0,10
8.3233,77.4948,335.6,1.1,1.1,2/12/2019,812,Aqua,MODIS,73,6.3,300.6,32.4,D,0,2
8.3234,77.7339,325.3,1.1,1.0,6/5/2012,529,Terra,MODIS,67,6.2,297.7,8.3,D,0,6
8.3236,77.492,305.6,1.9,1.3,2/12/2019,1737,Terra,MODIS,44,6.3,293.3,12.3,N,0,2
8.3237,77.4649,328.9,1.8,1.3,2/11/2019,1654,Terra,MODIS,100,6.3,295.3,62.9,N,0,2
8.3241,77.50399999999998,305.3,1.0,1.0,2/12/2019,2029,Aqua,MODIS,18,6.3,294.1,5.3,N,0,2
8.3247,77.4276,340.2,1.4,1.2,1/23/2019,836,Aqua,MODIS,88,6.3,301.9,58.2,D,0,1
8.3262,77.4273,309.3,1.2,1.1,1/17/2009,1725,Terra,MODIS,77,6.2,296.3,8.8,N,0,1
8.3265,77.4261,317.7,1.4,1.2,2/4/2013,806,Aqua,MODIS,25,6.2,303.3,11.2,D,0,2
8.3271,77.4895,338.3,1.1,1.1,2/12/2019,812,Aqua,MODIS,83,6.3,302.1,38.3,D,0,2
8.3276,77.447,318.7,1.9,1.4,2/3/2009,847,Aqua,MODIS,65,6.2,302.6,19.2,D,0,2
8.3289,77.4931,328.7,1.1,1.0,2/7/2009,518,Terra,MODIS,80,6.2,302.9,23.3,D,0,2
8.3298,77.4929,302.7,1.1,1.1,4/13/2013,1706,Terra,MODIS,51,6.2,273.7,7.1,N,0,4
8.33,77.4719,306.2,1.4,1.2,2/6/2009,1701,Terra,MODIS,61,6.2,293.9,10.2,N,0,2
8.3301,77.5161,307.8,1.0,1.0,4/12/2019,1719,Terra,MODIS,57,6.3,296.9,5.6,N,0,4
8.3314,77.4302,316.8,1.0,1.0,2/25/2014,1718,Terra,MODIS,93,6.2,297.8,12.2,N,0,2
8.3321,77.3894,325.5,1.0,1.0,2/13/2011,818,Aqua,MODIS,70,6.2,309.8,11.6,D,0,2
8.3323,77.4865,309.0,1.4,1.2,2/6/2009,1701,Terra,MODIS,76,6.2,291.3,13.3,N,0,2
8.3327,77.4394,310.8,1.0,1.0,2/25/2014,1718,Terra,MODIS,79,6.2,298.0,7.3,N,0,2
8.3328,77.9517,314.8,1.1,1.0,10/31/2016,823,Aqua,MODIS,0,6.2,293.4,6.7,D,0,10
8.3332,77.4681,331.5,1.0,1.0,2/7/2009,822,Aqua,MODIS,80,6.2,303.8,21.2,D,0,2
8.3333,77.4666,323.4,1.1,1.1,2/12/2019,812,Aqua,MODIS,50,6.3,302.4,15.0,D,0,2
8.3335,77.4883,323.4,1.0,1.0,4/14/2013,523,Terra,MODIS,67,6.2,292.9,14.3,D,0,4
8.3338,77.4036,327.6,1.0,1.0,3/16/2014,825,Aqua,MODIS,74,6.2,295.6,17.1,D,0,3
8.3347,77.479,313.4,1.4,1.2,2/6/2009,1701,Terra,MODIS,82,6.2,291.7,17.0,N,0,2
8.3357,77.4551,315.0,1.0,1.0,2/17/2019,529,Terra,MODIS,52,6.3,282.8,10.2,D,0,2
8.3377,77.4753,307.9,1.0,1.0,2/25/2014,1718,Terra,MODIS,48,6.2,293.9,7.1,N,0,2
8.339,77.4841,316.3,1.0,1.0,2/25/2014,1718,Terra,MODIS,92,6.2,292.2,14.1,N,0,2
8.3395,77.3975,319.3,1.8,1.3,2/8/2017,759,Aqua,MODIS,71,6.2,307.0,16.8,D,0,2
8.3399,77.3984,323.8,1.0,1.0,3/5/2010,826,Aqua,MODIS,66,6.2,301.1,12.1,D,0,3
8.3402,77.9571,318.2,1.0,1.0,10/5/2009,821,Aqua,MODIS,37,6.2,286.2,7.1,D,0,10
8.3403,77.3939,324.2,1.2,1.1,2/1/2019,830,Aqua,MODIS,45,6.3,306.0,11.7,D,0,2
8.341000000000001,77.4751,327.5,1.1,1.0,2/7/2009,518,Terra,MODIS,79,6.2,300.9,20.7,D,0,2
8.341000000000001,77.4712,311.4,1.1,1.0,1/17/2013,517,Terra,MODIS,32,6.2,297.6,5.2,D,0,1
8.344,77.4801,303.9,2.0,1.4,2/26/2014,2054,Aqua,MODIS,57,6.2,292.1,15.6,N,0,2
8.3444,77.4815,305.9,1.0,1.0,2/20/2009,1713,Terra,MODIS,10,6.2,290.9,5.1,N,0,2
8.3455,77.4282,327.4,1.0,1.0,2/2/2016,824,Aqua,MODIS,79,6.2,304.3,18.6,D,0,2
8.3457,77.4906,322.1,1.0,1.0,2/20/2009,1713,Terra,MODIS,100,6.2,291.2,18.8,N,0,2
8.346,77.3655,326.0,1.0,1.0,2/13/2017,818,Aqua,MODIS,36,6.2,309.7,10.7,D,0,2
8.3466,77.4314,329.6,1.1,1.1,2/22/2017,812,Aqua,MODIS,70,6.2,312.5,17.0,D,0,2
8.347000000000001,77.4598,313.3,1.0,1.0,2/21/2015,1712,Terra,MODIS,69,6.2,294.8,9.7,N,0,2
8.3475,77.4425,319.8,1.0,1.0,2/24/2015,818,Aqua,MODIS,57,6.2,300.7,7.0,D,0,2
8.3483,77.469,327.7,1.0,1.0,2/21/2015,1712,Terra,MODIS,100,6.2,294.8,24.5,N,0,2
8.3485,77.3821,324.9,1.2,1.1,2/1/2019,830,Aqua,MODIS,47,6.3,306.2,13.2,D,0,2
8.3493,77.3973,306.8,1.2,1.1,3/16/2014,2041,Aqua,MODIS,59,6.2,294.1,6.6,N,0,3
8.3498,77.3923,346.6,1.2,1.1,2/1/2019,830,Aqua,MODIS,92,6.3,308.2,53.0,D,0,2
8.351,77.3866,308.4,1.2,1.1,3/16/2014,2041,Aqua,MODIS,69,6.2,294.4,7.6,N,0,3
8.3515,77.4676,301.8,1.0,1.0,2/11/2009,1719,Terra,MODIS,30,6.2,291.5,4.0,N,0,2
8.3524,77.3495,324.1,1.0,1.0,2/13/2017,818,Aqua,MODIS,38,6.2,306.1,9.9,D,0,2
8.3536,77.3668,340.9,1.1,1.1,2/13/2017,517,Terra,MODIS,89,6.2,308.2,40.3,D,0,2
8.3537,77.3586,330.6,1.0,1.0,2/13/2017,818,Aqua,MODIS,71,6.2,309.4,17.9,D,0,2
8.3544,77.3539,317.7,1.0,1.0,3/16/2014,825,Aqua,MODIS,26,6.2,293.2,7.5,D,0,3
8.3546,77.4893,306.7,1.0,1.0,2/20/2009,1713,Terra,MODIS,35,6.2,289.8,6.3,N,0,2
8.3548,77.3707,328.6,1.4,1.2,3/23/2010,511,Terra,MODIS,69,6.2,302.2,24.0,D,0,3
8.3551,77.3566,322.6,1.1,1.1,2/13/2017,517,Terra,MODIS,28,6.2,304.5,11.5,D,0,2
8.3557,77.363,323.0,1.0,1.0,3/16/2014,825,Aqua,MODIS,66,6.2,295.7,12.3,D,0,3
8.3573,77.4678,307.4,1.0,1.0,2/21/2015,1712,Terra,MODIS,37,6.2,292.7,6.5,N,0,2
8.3587,77.4012,318.6,1.0,1.0,2/1/2019,529,Terra,MODIS,56,6.3,305.3,7.5,D,0,2
