






latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,months
30.3672,74.899,311.8,2.5,1.5,10/25/2012,848,Aqua,MODIS,57,6.2,299.2,17.9,D,0,10
30.3835,75.3892,318.3,1.1,1.1,10/30/2018,824,Aqua,MODIS,67,6.2,300.5,11.6,D,0,10
30.3929,76.1944,311.2,1.0,1.0,11/8/2009,814,Aqua,MODIS,53,6.2,298.0,4.7,D,0,11
30.3951,76.5387,316.7,1.3,1.1,10/27/2017,824,Aqua,MODIS,67,6.2,303.7,9.6,D,0,10
30.3951,74.9409,334.1,1.4,1.2,5/13/2009,607,Terra,MODIS,76,6.2,315.4,18.7,D,0,5
30.3952,74.6504,317.8,1.1,1.0,10/27/2011,823,Aqua,MODIS,64,6.2,301.5,10.4,D,0,10
30.3965,75.7299,320.5,1.5,1.2,11/1/2014,754,Aqua,MODIS,71,6.2,301.4,18.3,D,0,11
30.3981,74.4173,318.0,1.1,1.0,10/21/2014,812,Aqua,MODIS,65,6.2,300.9,9.4,D,0,10
30.4011,75.6013,321.3,1.3,1.1,11/11/2015,759,Aqua,MODIS,70,6.2,303.7,13.9,D,0,11
30.4025,78.7198,327.0,1.1,1.0,4/28/2016,754,Aqua,MODIS,75,6.2,304.7,18.4,D,0,4
30.4044,77.6524,341.8,1.1,1.0,5/28/2018,531,Terra,MODIS,87,6.2,310.9,35.2,D,0,5
30.406,74.8427,318.7,1.1,1.0,10/8/2010,824,Aqua,MODIS,48,6.2,301.0,8.1,D,0,10
30.4111,75.4993,342.4,1.1,1.0,5/21/2019,806,Aqua,MODIS,83,6.3,320.6,23.2,D,0,5
30.4125,76.426,314.5,1.3,1.1,10/24/2010,824,Aqua,MODIS,64,6.2,302.4,8.3,D,0,10
30.4139,76.1824,320.7,1.5,1.2,10/15/2016,829,Aqua,MODIS,71,6.2,304.5,18.1,D,0,10
30.4145,75.4634,326.4,1.0,1.0,11/14/2014,548,Terra,MODIS,80,6.2,301.7,17.2,D,0,11
30.4159,78.8599,307.7,1.4,1.2,2/4/2016,818,Aqua,MODIS,44,6.2,294.1,10.0,D,0,2
30.4164,74.1508,316.4,1.4,1.2,11/5/2015,836,Aqua,MODIS,22,6.2,298.7,10.8,D,0,11
30.4173,74.0601,312.7,1.0,1.0,11/5/2011,817,Aqua,MODIS,42,6.2,299.8,4.3,D,0,11
