



latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,months
25.6982,94.9369,332.9,1.1,1.1,3/30/2019,650,Aqua,MODIS,87,6.3,291.8,36.9,D,0,3
25.6982,90.4697,318.5,1.1,1.1,3/8/2019,727,Aqua,MODIS,71,6.3,301.3,12.5,D,0,3
25.6982,90.5409,318.8,1.4,1.2,3/25/2011,734,Aqua,MODIS,71,6.2,301.6,10.3,D,0,3
25.6983,94.4391,341.3,1.3,1.1,3/17/2016,715,Aqua,MODIS,86,6.2,288.9,55.1,D,0,3
25.6983,90.5351,377.9,1.0,1.0,3/19/2014,721,Aqua,MODIS,100,6.2,310.5,135.7,D,0,3
25.6984,91.0195,312.4,2.0,1.4,3/14/2019,650,Aqua,MODIS,49,6.3,297.8,16.7,D,0,3
25.6984,94.3666,344.8,1.0,1.0,2/16/2013,656,Aqua,MODIS,93,6.2,294.8,53.0,D,0,2
25.6985,92.084,311.1,1.8,1.3,2/18/2010,735,Aqua,MODIS,28,6.2,300.1,8.7,D,0,2
25.6985,93.0618,321.4,1.0,1.0,4/3/2012,428,Terra,MODIS,67,6.2,303.7,9.5,D,0,4
25.6986,92.7944,323.3,1.3,1.1,4/9/2016,722,Aqua,MODIS,72,6.2,300.3,14.5,D,0,4
25.6987,93.6413,339.4,1.2,1.1,3/11/2010,441,Terra,MODIS,90,6.2,300.9,45.0,D,0,3
25.6989,92.0898,315.8,1.3,1.1,3/15/2017,656,Aqua,MODIS,67,6.2,298.1,12.1,D,0,3
25.6989,92.8813,328.1,1.1,1.0,3/12/2014,715,Aqua,MODIS,80,6.2,303.5,19.6,D,0,3
25.6991,79.57600000000002,341.2,1.4,1.2,4/29/2014,543,Terra,MODIS,82,6.2,321.4,32.2,D,0,4
25.6991,94.535,310.9,2.3,1.5,3/14/2015,632,Aqua,MODIS,33,6.2,295.6,21.4,D,0,3
25.6991,92.229,316.2,1.2,1.1,3/29/2014,447,Terra,MODIS,63,6.2,305.0,8.1,D,0,3
25.6992,90.0904,331.1,1.7,1.3,3/15/2011,657,Aqua,MODIS,83,6.2,304.4,48.2,D,0,3
25.6993,93.583,333.8,1.4,1.2,3/16/2013,721,Aqua,MODIS,86,6.2,303.2,37.7,D,0,3
25.6994,92.6097,349.1,1.9,1.4,3/19/2012,644,Aqua,MODIS,95,6.2,299.8,139.1,D,0,3
25.6996,93.6425,328.3,1.0,1.0,3/31/2014,435,Terra,MODIS,79,6.2,306.3,16.4,D,0,3
25.6996,92.6678,333.1,1.1,1.0,4/4/2010,704,Aqua,MODIS,84,6.2,298.2,26.5,D,0,4
25.6997,94.5623,310.9,1.0,1.0,3/25/2010,1551,Terra,MODIS,81,6.2,289.0,10.6,N,0,3
25.6997,93.0361,316.7,1.3,1.1,2/26/2012,721,Aqua,MODIS,39,6.2,302.5,9.2,D,0,2
25.6997,90.5451,354.4,1.0,1.0,3/19/2014,721,Aqua,MODIS,97,6.2,305.3,61.4,D,0,3
25.6998,92.6752,344.9,1.0,1.0,4/22/2014,709,Aqua,MODIS,91,6.2,308.2,40.5,D,0,4
25.6999,90.3612,313.4,1.4,1.2,3/9/2018,703,Aqua,MODIS,41,6.2,298.1,8.4,D,0,3
25.6999,90.277,335.6,1.0,1.0,4/12/2017,721,Aqua,MODIS,86,6.2,295.3,28.1,D,0,4
25.6999,90.3698,396.1,1.1,1.1,3/15/2016,727,Aqua,MODIS,100,6.2,309.1,263.6,D,0,3
25.6999,90.3397,320.0,1.3,1.1,3/17/2014,734,Aqua,MODIS,69,6.2,298.6,15.5,D,0,3
25.6999,90.8787,312.2,1.0,1.0,2/24/2014,715,Aqua,MODIS,60,6.2,299.8,5.4,D,0,2
25.7002,77.8278,328.5,2.8,1.6,4/10/2017,734,Aqua,MODIS,55,6.2,315.8,41.3,D,0,4
25.7004,91.8473,300.0,1.0,1.0,2/22/2010,711,Aqua,MODIS,20,6.2,281.6,3.0,D,0,2
25.7004,91.4717,313.7,1.2,1.1,3/6/2011,703,Aqua,MODIS,51,6.2,302.0,8.0,D,0,3
25.7005,93.2423,315.4,1.1,1.0,3/9/2013,715,Aqua,MODIS,63,6.2,302.7,6.5,D,0,3
25.7006,90.3019,328.6,1.7,1.3,3/9/2009,701,Aqua,MODIS,80,6.2,301.9,39.4,D,0,3
25.7006,90.4719,362.5,1.1,1.1,3/12/2009,732,Aqua,MODIS,100,6.2,308.1,98.5,D,0,3
25.7006,89.9563,317.0,1.6,1.2,3/21/2013,740,Aqua,MODIS,57,6.2,299.5,10.7,D,0,3
25.7008,92.2428,312.7,1.2,1.1,2/2/2015,721,Aqua,MODIS,69,6.2,296.6,10.7,D,0,2
25.7008,94.6941,346.5,1.1,1.0,4/22/2014,709,Aqua,MODIS,93,6.2,315.3,44.1,D,0,4
25.7009,90.8782,318.3,1.0,1.0,3/8/2016,721,Aqua,MODIS,68,6.2,299.9,8.4,D,0,3
25.7009,92.6494,323.8,1.2,1.1,3/29/2012,721,Aqua,MODIS,70,6.2,304.0,14.4,D,0,3
25.7009,92.4239,308.7,1.5,1.2,2/4/2011,651,Aqua,MODIS,50,6.2,298.3,8.4,D,0,2
25.701,90.5552,352.9,1.0,1.0,3/19/2014,721,Aqua,MODIS,96,6.2,303.7,59.0,D,0,3
25.7011,78.9983,316.4,1.6,1.2,11/12/2017,822,Aqua,MODIS,34,6.2,303.2,11.1,D,0,11
25.7011,76.7019,317.2,1.0,1.0,11/7/2014,543,Terra,MODIS,51,6.2,304.5,5.6,D,0,11
25.7012,90.8631,309.9,4.2,1.9,3/3/2017,632,Aqua,MODIS,59,6.2,294.2,43.7,D,0,3
25.7012,94.5723,311.9,1.0,1.0,3/25/2010,1551,Terra,MODIS,84,6.2,290.1,11.2,N,0,3
25.7013,93.6423,313.1,1.8,1.3,3/28/2011,453,Terra,MODIS,60,6.2,297.5,11.5,D,0,3
