




latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,months
24.5704,93.2471,342.0,1.0,1.0,3/23/2009,713,Aqua,MODIS,90,6.2,301.2,39.3,D,0,3
24.5718,93.6498,313.4,1.1,1.1,3/23/2018,715,Aqua,MODIS,55,6.2,297.1,7.5,D,0,3
24.5733,87.9518,333.7,1.0,1.0,4/18/2014,734,Aqua,MODIS,69,6.2,317.8,10.9,D,0,4
24.5739,93.2986,337.3,1.0,1.0,3/19/2016,702,Aqua,MODIS,88,6.2,299.2,36.2,D,0,3
24.5746,93.322,327.2,1.1,1.0,2/26/2009,719,Aqua,MODIS,80,6.2,300.3,22.7,D,0,2
24.5755,93.3651,318.5,1.2,1.1,3/17/2012,656,Aqua,MODIS,69,6.2,300.5,14.7,D,0,3
24.5755,93.3088,319.8,1.0,1.0,3/19/2016,702,Aqua,MODIS,72,6.2,297.1,13.5,D,0,3
24.5775,93.3207,310.2,1.1,1.0,3/3/2009,424,Terra,MODIS,59,6.2,295.6,8.9,D,0,3
24.5776,93.3023,322.3,1.6,1.2,3/20/2012,727,Aqua,MODIS,65,6.2,294.2,28.9,D,0,3
24.5778,93.3159,311.5,1.8,1.3,3/17/2011,644,Aqua,MODIS,56,6.2,300.6,12.9,D,0,3
24.5788,93.3045,323.3,3.4,1.7,3/18/2015,746,Aqua,MODIS,46,6.2,296.2,86.4,D,0,3
24.5789,93.3105,310.5,1.1,1.0,3/3/2009,424,Terra,MODIS,59,6.2,295.7,9.1,D,0,3
24.5794,93.2457,367.8,1.0,1.0,3/23/2009,713,Aqua,MODIS,100,6.2,305.3,101.9,D,0,3
24.5796,78.6067,338.7,2.0,1.4,5/27/2019,556,Terra,MODIS,78,6.3,318.9,28.0,D,0,5
24.5801,93.3121,316.7,2.7,1.6,3/16/2011,740,Aqua,MODIS,50,6.2,292.8,44.4,D,0,3
24.5807,93.2555,392.5,1.0,1.0,3/23/2009,713,Aqua,MODIS,100,6.2,305.4,204.5,D,0,3
24.5812,93.2913,312.9,1.1,1.0,3/9/2013,715,Aqua,MODIS,40,6.2,302.2,6.2,D,0,3
24.5815,93.307,308.5,2.9,1.6,3/20/2009,507,Terra,MODIS,13,6.2,295.5,23.2,D,0,3
24.5815,93.359,358.4,1.4,1.2,3/8/2011,650,Aqua,MODIS,99,6.2,301.0,126.2,D,0,3
24.5816,93.3667,313.3,1.1,1.0,3/9/2013,715,Aqua,MODIS,50,6.2,302.2,6.9,D,0,3
24.5816,93.3742,324.1,1.1,1.0,3/9/2011,423,Terra,MODIS,78,6.2,299.4,20.3,D,0,3
24.5823,93.3548,333.1,1.2,1.1,3/10/2015,657,Aqua,MODIS,84,6.2,304.3,35.3,D,0,3
24.5825,75.3402,339.3,1.7,1.3,4/29/2019,841,Aqua,MODIS,79,6.3,322.1,31.5,D,0,4
24.5825,77.9126,342.9,1.0,1.0,5/4/2013,805,Aqua,MODIS,84,6.2,322.9,16.0,D,0,5
24.5827,93.3129,313.7,2.9,1.6,3/20/2009,507,Terra,MODIS,65,6.2,295.5,43.6,D,0,3
24.5827,93.3109,319.1,3.4,1.7,3/18/2015,746,Aqua,MODIS,70,6.2,295.6,70.3,D,0,3
24.583,93.3633,318.8,1.1,1.0,3/9/2011,423,Terra,MODIS,71,6.2,300.3,14.1,D,0,3
24.583,93.3773,394.0,1.1,1.0,3/9/2013,715,Aqua,MODIS,100,6.2,310.9,243.2,D,0,3
24.5838,93.2613,316.2,3.4,1.7,4/14/2019,745,Aqua,MODIS,63,6.3,294.5,48.5,D,0,4
24.5843,93.3672,317.1,1.2,1.1,3/10/2015,657,Aqua,MODIS,63,6.2,301.0,12.6,D,0,3
24.5845,93.3887,362.9,1.1,1.0,3/9/2013,715,Aqua,MODIS,100,6.2,303.8,100.8,D,0,3
24.5846,93.465,345.9,1.7,1.3,3/17/2011,644,Aqua,MODIS,93,6.2,296.0,109.1,D,0,3
24.5847,79.8923,325.2,1.1,1.1,2/18/2018,810,Aqua,MODIS,76,6.2,294.7,18.4,D,0,2
24.5849,93.4584,324.2,1.1,1.0,3/17/2010,716,Aqua,MODIS,71,6.2,304.3,15.9,D,0,3
24.585,72.7469,331.8,1.8,1.3,5/4/2015,531,Terra,MODIS,55,6.2,310.4,34.1,D,0,5
24.5855,93.4576,322.1,1.1,1.0,3/14/2009,719,Aqua,MODIS,31,6.2,302.1,13.0,D,0,3
24.5856,93.7485,308.6,1.1,1.1,12/7/2015,656,Aqua,MODIS,60,6.2,296.6,6.6,D,0,12
24.5857,93.3679,317.4,1.0,1.0,3/15/2012,708,Aqua,MODIS,68,6.2,297.8,10.6,D,0,3
24.5862,93.4685,320.3,1.1,1.0,3/17/2010,716,Aqua,MODIS,62,6.2,303.3,11.4,D,0,3
24.5863,93.2985,320.3,1.3,1.1,3/27/2017,721,Aqua,MODIS,32,6.2,296.3,15.6,D,0,3
24.5863,93.4994,321.4,2.3,1.5,3/16/2019,638,Aqua,MODIS,76,6.3,290.6,54.7,D,0,3
24.5867,80.7009,338.9,1.2,1.1,5/1/2015,811,Aqua,MODIS,78,6.2,316.8,23.5,D,0,5
24.5867,93.1697,317.2,1.2,1.1,4/24/2014,656,Aqua,MODIS,43,6.2,302.8,9.0,D,0,4
24.5868,85.7008,324.5,1.1,1.1,3/18/2011,727,Aqua,MODIS,53,6.2,310.4,8.7,D,0,3
24.5871,93.4512,328.4,1.3,1.1,3/29/2012,721,Aqua,MODIS,77,6.2,305.4,26.8,D,0,3
24.5875,93.4812,339.9,1.7,1.3,3/17/2011,644,Aqua,MODIS,90,6.2,297.0,88.6,D,0,3
24.588,93.0694,318.7,1.2,1.1,3/19/2014,721,Aqua,MODIS,40,6.2,302.9,10.3,D,0,3
24.5882,93.4265,308.1,2.7,1.6,3/18/2012,739,Aqua,MODIS,34,6.2,293.5,18.3,D,0,3
24.5884,79.4099,326.1,1.1,1.0,3/6/2018,810,Aqua,MODIS,57,6.2,312.1,8.5,D,0,3
24.5885,93.181,331.8,1.2,1.1,4/24/2014,656,Aqua,MODIS,81,6.2,303.2,29.8,D,0,4
24.589,93.2755,316.5,2.3,1.5,3/20/2009,643,Aqua,MODIS,54,6.2,299.8,31.3,D,0,3
24.5892,93.3189,369.4,2.7,1.6,3/16/2011,739,Aqua,MODIS,94,6.2,297.8,473.4,D,0,3
24.5898,93.3286,316.6,3.9,1.8,3/14/2012,625,Aqua,MODIS,72,6.2,293.2,88.8,D,0,3
24.5898,93.2718,323.4,1.1,1.0,3/14/2009,719,Aqua,MODIS,71,6.2,301.0,16.3,D,0,3
